,370,,,,,2866912826,"Rp132,098,614",,,,,,370,,,2866912826,370,0,370,,2062907551,,,,,1232477542,0,370,0,370,370,,370,3657450,370,370,370,,370,,,3657450,,,27,236,802203827,1432594737,,258,4,2199458967,10042697,,223,37,1234814963,828092588,136551416,85,129,542956801,694856672,,25,144,0,3657450,,103,42,3657450,0,23.04,124,1,3657450,0,,
MO,Nama Project,Brand,Tgl Quo Manual,No Quo Manual,Status Quo Manual,Nilai Quo,AFPS,Area,Divisi M,Admin Approval Quotation,Tgl AP release(cek E-mail),No. AP / SEP,Tgl SEP,"PERIODE PROGRAM  AWAL
( Sesuai pada Priode SEP)","PERIODE PROGRAM  END
( Sesuai pada Priode SEP)",Tgl Upload Quo MOA,No. Doc Quo MOA,Status Quo Portal MOA,No. PO,Tgl PO,Nilai PO,Produksi,Tgl Pemasangan Done,Rekap Done Pekerjaan,Tgl Rekap Done,NIlai Setelah rekap,Selisih Rekap & Quo,No. LPPN,Nilai LPPN,Tgl LPPN MOA,Tgl LPPN Approve,Status LPPN,No. TTF Moa,N. TTF,Tgl TTF Create,Tgl TTF Approve,No TTF 511..,Status TTF,No. BATCH,Tgl Realisasi,Status Realisasi,Nilai Realisasi,Link Doc,Periode SEP,SEP<7,SEP>7,N.SEP<7,N.SEP>7,Periode Upload Quo MOA,Quo MOA<7,Quo MOA>7,N.Quo MOA<7,N.Quo MOA>7,Periode PO,PO<7,PO>7,N.PO <7,N.PO>7,Periode Rekap,Rekap<7,Rekap>7,N. Rekap<7,N. Rekap>7,Periode LPPN,LPPN<7,LPPN>7,N. LPPN<7,N. LPPN>7,Periode TTF,TTF<7,TTF>7,N. TTF<7,N. TTF>7,Periode Realisasi,RLS<30,RLS>30,N. RLS<30,N. RLS>30,,
10,BRANDING DE GUNUNG ANGKRINGAN,LM,23-07-2025,010/CV.MUSTIKA/MLG/QUO-VII/25,Cancel,5938500,Rendy,Malang,M3,RIka,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Cancel,(blank),(blank),(blank),,(blank),,(blank),(blank),#NAME?,(blank),#NAME?,(blank),(blank),,(blank),,(blank),(blank),(blank),,(blank),,,,10. De GUNUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,KOMPENSASI  DE GUNUNG ANGKRINGAN,LM,23-07-2025,011/CV.MUSTIKA/MLG/QUO-VII/25,Cancel,6105000,Rendy,Malang,M3,RIka,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Cancel,(blank),(blank),(blank),,(blank),,(blank),(blank),#NAME?,(blank),#NAME?,(blank),(blank),,(blank),,(blank),(blank),(blank),,(blank),,,,10. De GUNUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BRANDING  KANTIN UNIV MA CHUNG,TPH,25-07-2025,012/CV.MUSTIKA/MLG/QUO-VII/25,Done,1554000,Rendy,Malang,M3,RIka,28-08-2025,BEV/SUN/25/08/5922,28-08-2025,19-05-25,19-05-2026,29-08-2025,00996/Q-MAP/08/2025/SUPR,PO Release,7501281596,10-09-2025,1554000,Done,16-09-2025,Berkas Lengkap,18-09-2025,1554000,#NAME?,01259/LPPN/09/2025/SUPR,1554000,18-09-2025,03-10-2025,Complette,00314/TTF_VN/10/2025/SUPR,1554000,03-10-2025,09-10-2025,5111812739,Commplete,BATCH/L3748066/002/06.11.2025,06-11-25,Sudah Dibayar,1554000,12. KANTIN UNIV MACHUNG,25,,1,,1554000,2,1,,1554000,,9,,1,,1554000,3,1,,1554000,,12,,1,,1554000,5,1,,1554000,,21,1,,1554000,,,
13,KOMPENSASI  KANTIN UNIV MA CHUNG,TPH,25-07-2025,013/CV.MUSTIKA/MLG/QUO-VII/25,Done,1221000,Rendy,Malang,M3,RIka,28-08-2025,BEV/SUN/25/08/5922,28-08-2025,19-05-25,19-05-2026,29-08-2025,00997/Q-MAP/08/2025/SUPR,PO Release,7501278008,01-09-2025,1221000,Done,16-09-2025,Berkas Lengkap,18-09-2025,1221000,#NAME?,01260/LPPN/09/2025/SUPR,1221000,18-09-2025,03-10-2025,Complette,00315/TTF_VN/10/2025/SUPR,1221000,03-10-2025,09-10-2025,5111812738,Commplete,BATCH/L3748066/003/06.11.2025,06-11-25,Sudah Dibayar,1221000,12. KANTIN UNIV MACHUNG,25,,1,,1221000,2,1,,1221000,,2,1,,1221000,,3,1,,1221000,,12,,1,,1221000,5,1,,1221000,,21,1,,1221000,,,
14,BRANDING  KANTIN UNIV MA CHUNG 2,TPH,28-07-2025,014/CV.MUSTIKA/MLG/QUO-VII/25,Done,882450,Rendy,Malang,M3,RIka,28-08-2025,BEV/SUN/25/08/5922,28-08-2025,19-05-25,19-05-2026,29-08-2025,00998/Q-MAP/08/2025/SUPR,PO Release,7501278009,01-09-2025,882450,Done,16-09-2025,Berkas Lengkap,18-09-2025,882450,#NAME?,01262/LPPN/09/2025/SUPR,882450,18-09-2025,03-10-2025,Complette,00317/TTF_VN/10/2025/SUPR,882450,03-10-2025,09-10-2025,5111812740,Commplete,BATCH/L3748066/001/06.11.2025,06-11-25,Sudah Dibayar,882450,14. KANTIN UNIV MACHUNG 2,24,,1,,882450,2,1,,882450,,2,1,,882450,,3,1,,882450,,12,,1,,882450,5,1,,882450,,21,1,,882450,,,
15,KOMPENSASI  KANTIN UNIV MA CHUNG 2,TPH,28-07-2025,015/CV.MUSTIKA/MLG/QUO-VII/25,Cancel,0,Rendy,Malang,M3,RIka,(blank),(blank),(blank),(blank),(blank),(blank),(blank),Cancel,(blank),(blank),(blank),,(blank),,(blank),(blank),#NAME?,(blank),#NAME?,(blank),(blank),,(blank),,(blank),(blank),(blank),,(blank),,,,14. KANTIN UNIV MACHUNG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BRANDING  KOPSIS SMAN 4 MALANG,TPH,24-07-2025,016/CV.MUSTIKA/MLG/QUO-VII/25,Done,2526660,Rendy,Malang,M3,RIka,07-08-2025,BEV/SUN/25/08/5303,11-08-2025,01-12-25,01-12-2027,07-08-2025,00231/Q-MAP/08/2025/SUPR,PO Release,7501268598,12-08-2025,2526660,Done,18-08-2025,Berkas Lengkap,22-08-2025,2526660,#NAME?,01685/LPPN/08/2025/SUPR,#NAME?,22-08-2025,23-09-2025,Complette,02616/TTF_VN/09/2025/SUPR,#NAME?,24-09-2025,30-09-2025,5111794373,Commplete,BATCH/L3474007/001/30.10.2025,30-10-25,Sudah Dibayar,#NAME?,16. KOPSIS SMAN 4 MALANG,13,,1,,2526660,1,1,,2526660,,4,1,,2526660,,5,1,,2526660,,23,,1,,#NAME?,5,1,,#NAME?,,23,1,,#NAME?,,,
17,KOMPENSASI  KOPSIS SMAN 4 MALANG,TPH,24-07-2025,017/CV.MUSTIKA/MLG/QUO-VII/25,Done,29415000,Rendy,Malang,M3,RIka,07-08-2025,BEV/SUN/25/08/5303,11-08-2025,01-12-25,01-12-2027,07-08-2025,00232/Q-MAP/08/2025/SUPR,PO Release,7501268599,12-08-2025,29415000,Done,18-08-2025,Berkas Lengkap,22-08-2025,29415000,#NAME?,01688/LPPN/08/2025/SUPR,#NAME?,22-08-2025,23-09-2025,Complette,02617/TTF_VN/09/2025/SUPR,#NAME?,24-09-2025,30-09-2025,5111794371,Commplete,BATCH/L3474007/002/30.10.2025,30-10-25,Sudah Dibayar,#NAME?,16. KOPSIS SMAN 4 MALANG,13,,1,,29415000,1,1,,29415000,,4,1,,29415000,,5,1,,29415000,,23,,1,,#NAME?,5,1,,#NAME?,,23,1,,#NAME?,,,
18,BRANDING BAKSO CAK KAR,TPH,27-07-2025,018/CV.MUSTIKA/MLG/QUO-VII/25,Done,6260400,Rendy,Malang,M3,RIka,12-08-2025,BEV/SUN/25/08/5397,15-08-2025,04-09-25,04-09-2027,12-08-2025,00421/Q-MAP/08/2025/SUPR,PO Release,7501271882,19-08-2025,6260400,Done,21-08-2025,Berkas Lengkap,22-08-2025,6260400,#NAME?,01690/LPPN/08/2025/SUPR,#NAME?,22-08-2025,12-09-2025,Complette,01221/TTF_VN/09/2025/SUPR,#NAME?,12-09-2025,22-09-2025,5111776427,Commplete,BATCH/L3211009/001/23.10.2025,23-10-25,Sudah Dibayar,#NAME?,18. BAKSO CAK KAR,15,,1,,6260400,1,1,,6260400,,6,1,,6260400,,2,1,,6260400,,16,,1,,#NAME?,7,,1,,#NAME?,24,1,,#NAME?,,,
19,KOMPENSASI BAKSO CAK KAR,TPH,27-07-2025,019/CV.MUSTIKA/MLG/QUO-VII/25,Done,52947000,Rendy,Malang,M3,RIka,12-08-2025,BEV/SUN/25/08/5397,15-08-2025,04-09-25,04-09-2027,12-08-2025,00422/Q-MAP/08/2025/SUPR,PO Release,7501271883,19-08-2025,52947000,Done,21-08-2025,Berkas Lengkap,22-08-2025,52947000,#NAME?,01692/LPPN/08/2025/SUPR,#NAME?,22-08-2025,12-09-2025,Complette,01226/TTF_VN/09/2025/SUPR,#NAME?,12-09-2025,22-09-2025,5111776430,Commplete,BATCH/L3211009/002/23.10.2025,23-10-25,Sudah Dibayar,#NAME?,18. BAKSO CAK KAR,15,,1,,52947000,1,1,,52947000,,6,1,,52947000,,2,1,,52947000,,16,,1,,#NAME?,7,,1,,#NAME?,24,1,,#NAME?,,,
